# HELP dsc_exporter_parsed_files How many files the dsc exporter parsed for each ns
# TYPE dsc_exporter_parsed_files counter
dsc_exporter_parsed_files{loc="loc",ns="ns"} 2 [-2m]
dsc_exporter_parsed_files{loc="loc",ns="ns"} 3 [-1m]
dsc_exporter_parsed_files{loc="loc",ns="ns"} 4 [now]
# HELP dsc_exporter_pcap_stats DSC-Metric from dataset pcap_stats
# TYPE dsc_exporter_pcap_stats counter
dsc_exporter_pcap_stats{ifname="ens2f0",loc="loc",ns="ns",pcap_stat="filter_received"} 16 [-2m]
dsc_exporter_pcap_stats{ifname="ens2f0",loc="loc",ns="ns",pcap_stat="filter_received"} 24 [-1m]
dsc_exporter_pcap_stats{ifname="ens2f0",loc="loc",ns="ns",pcap_stat="filter_received"} 32 [now]
dsc_exporter_pcap_stats{ifname="ens2f0",loc="loc",ns="ns",pcap_stat="pkts_captured"} 16 [-2m]
dsc_exporter_pcap_stats{ifname="ens2f0",loc="loc",ns="ns",pcap_stat="pkts_captured"} 24 [-1m]
dsc_exporter_pcap_stats{ifname="ens2f0",loc="loc",ns="ns",pcap_stat="pkts_captured"} 32 [now]
# HELP dsc_exporter_priming_queries_EDNSBufSiz DSC-Metric from dataset priming_queries for EDNSBufSiz
# TYPE dsc_exporter_priming_queries_EDNSBufSiz histogram
dsc_exporter_priming_queries_EDNSBufSiz_bucket{Transport="tcp",loc="loc",ns="ns",le="511"} 0 [-2m]
dsc_exporter_priming_queries_EDNSBufSiz_bucket{Transport="tcp",loc="loc",ns="ns",le="1023"} 2 [-2m]
dsc_exporter_priming_queries_EDNSBufSiz_bucket{Transport="tcp",loc="loc",ns="ns",le="+Inf"} 9 [-2m]
dsc_exporter_priming_queries_EDNSBufSiz_sum{Transport="tcp",loc="loc",ns="ns"} 22779.5 [-2m]
dsc_exporter_priming_queries_EDNSBufSiz_count{Transport="tcp",loc="loc",ns="ns"} 9 [-2m]
dsc_exporter_priming_queries_EDNSBufSiz_bucket{Transport="tcp",loc="loc",ns="ns",le="511"} 0 [-1m]
dsc_exporter_priming_queries_EDNSBufSiz_bucket{Transport="tcp",loc="loc",ns="ns",le="1023"} 2 [-1m]
dsc_exporter_priming_queries_EDNSBufSiz_bucket{Transport="tcp",loc="loc",ns="ns",le="+Inf"} 9 [-1m]
dsc_exporter_priming_queries_EDNSBufSiz_sum{Transport="tcp",loc="loc",ns="ns"} 22779.5 [-1m]
dsc_exporter_priming_queries_EDNSBufSiz_count{Transport="tcp",loc="loc",ns="ns"} 9 [-1m]
dsc_exporter_priming_queries_EDNSBufSiz_bucket{Transport="tcp",loc="loc",ns="ns",le="511"} 0 [now]
dsc_exporter_priming_queries_EDNSBufSiz_bucket{Transport="tcp",loc="loc",ns="ns",le="1023"} 4 [now]
dsc_exporter_priming_queries_EDNSBufSiz_bucket{Transport="tcp",loc="loc",ns="ns",le="+Inf"} 18 [now]
dsc_exporter_priming_queries_EDNSBufSiz_sum{Transport="tcp",loc="loc",ns="ns"} 45559 [now]
dsc_exporter_priming_queries_EDNSBufSiz_count{Transport="tcp",loc="loc",ns="ns"} 18 [now]
dsc_exporter_priming_queries_EDNSBufSiz_bucket{Transport="udp",loc="loc",ns="ns",le="511"} 0 [-2m]
dsc_exporter_priming_queries_EDNSBufSiz_bucket{Transport="udp",loc="loc",ns="ns",le="1023"} 5 [-2m]
dsc_exporter_priming_queries_EDNSBufSiz_bucket{Transport="udp",loc="loc",ns="ns",le="+Inf"} 11 [-2m]
dsc_exporter_priming_queries_EDNSBufSiz_sum{Transport="udp",loc="loc",ns="ns"} 15610.5 [-2m]
dsc_exporter_priming_queries_EDNSBufSiz_count{Transport="udp",loc="loc",ns="ns"} 11 [-2m]
dsc_exporter_priming_queries_EDNSBufSiz_bucket{Transport="udp",loc="loc",ns="ns",le="511"} 0 [-1m]
dsc_exporter_priming_queries_EDNSBufSiz_bucket{Transport="udp",loc="loc",ns="ns",le="1023"} 5 [-1m]
dsc_exporter_priming_queries_EDNSBufSiz_bucket{Transport="udp",loc="loc",ns="ns",le="+Inf"} 11 [-1m]
dsc_exporter_priming_queries_EDNSBufSiz_sum{Transport="udp",loc="loc",ns="ns"} 15610.5 [-1m]
dsc_exporter_priming_queries_EDNSBufSiz_count{Transport="udp",loc="loc",ns="ns"} 11 [-1m]
dsc_exporter_priming_queries_EDNSBufSiz_bucket{Transport="udp",loc="loc",ns="ns",le="511"} 0 [now]
dsc_exporter_priming_queries_EDNSBufSiz_bucket{Transport="udp",loc="loc",ns="ns",le="1023"} 10 [now]
dsc_exporter_priming_queries_EDNSBufSiz_bucket{Transport="udp",loc="loc",ns="ns",le="+Inf"} 22 [now]
dsc_exporter_priming_queries_EDNSBufSiz_sum{Transport="udp",loc="loc",ns="ns"} 31221 [now]
dsc_exporter_priming_queries_EDNSBufSiz_count{Transport="udp",loc="loc",ns="ns"} 22 [now]
# HELP dsc_exporter_priming_queries_EDNSBufSiz_None DSC-Metric from dataset priming_queries for EDNSBufSiz for value None
# TYPE dsc_exporter_priming_queries_EDNSBufSiz_None counter
dsc_exporter_priming_queries_EDNSBufSiz_None{Transport="tcp",loc="loc",ns="ns"} 1 [-2m]
dsc_exporter_priming_queries_EDNSBufSiz_None{Transport="tcp",loc="loc",ns="ns"} 1 [-1m]
dsc_exporter_priming_queries_EDNSBufSiz_None{Transport="tcp",loc="loc",ns="ns"} 2 [now]
dsc_exporter_priming_queries_EDNSBufSiz_None{Transport="udp",loc="loc",ns="ns"} 4 [-2m]
dsc_exporter_priming_queries_EDNSBufSiz_None{Transport="udp",loc="loc",ns="ns"} 4 [-1m]
dsc_exporter_priming_queries_EDNSBufSiz_None{Transport="udp",loc="loc",ns="ns"} 8 [now]
